nome_comum	nome_cientifico	familia	estrato	sucessao	sistema	grupo	pagina
Abacate	Laurus persea	Lauraceae	Alto	Secundária Tardia	Abundância	Fruta	1
Abacaxi	Ananas sativus	Bromeliaceae	Médio	Placenta 2	Acumulação	Fruta	1
Abiu	Pouteria caimito	Sapotaceae	Médio	Clímax	Abundância	Fruta	1
Abóbora Moranga	Cucurbita maxima	Cucurbitaceae	Médio	Placenta 1	Abundância	Hortaliça	1
Acácia Baiana	Senna polyphylla	Fabaceae	Médio	Pioneira	Retomada	Matéria Orgânica	1
Acácia Mangium	Acácia mangium	Fabaceae	Emergente	Secundária Inicial	Acumulação	Matéria Orgânica	1
Acácia Negra	Acácia meransii	Fabaceae	Emergente	Secundária Inicial	Acumulação	Matéria Orgânica	1
Acácia Senegalense	Senegalia senegal	Fabaceae	Emergente	Secundária Média	Acumulação	Madeira	1
Açaí	Euterpe oleracea	Arecaceae	Alto	Secundária Tardia	Abundância	Palmeira	1
Acelga	Beta vulgaris subsp. cicla	Amaranthaceae	Médio	Placenta 1	Abundância	Hortaliça	1
Acerola	Malpighia glabra	Malpighiaceae	Alto	Secundária Média	Abundância	Fruta	1
Achachairu	Garcinia humilis	Clusiaceae	Médio	Clímax	Abundância	Fruta	1
Açoita Cavalo	Luehea grandiflora	Malvaceae	Alto	Secundária Média	Acumulação	Matéria Orgânica	1
Agrião	Nasturtium officinale	Brassicaceae	Baixo	Placenta 1	Abundância	Hortaliça	1
Alamo	Populus nigra	Salicaceae	Emergente	Secundária Média	Abundância	Matéria Orgânica	1
Alecrim do Campo	Baccharis dracunculifolia	Asteraceae	Alto	Pioneira	Retomada	Matéria Orgânica	1
Alface	Lactuca sativa	Asteraceae	Médio	Placenta 1	Abundância	Hortaliça	1
Algaroba	Prosopis juliflora	Fabaceae	Emergente	Clímax	Acumulação	Madeira	1
Algodão Arbóreo	Gossypium hirsutum	Malvaceae	Alto	Placenta 2	Acumulação	Matéria Orgânica	1
Alho Poró	Allium porrum	Amaryllidaceae	Médio	Placenta 1	Abundância	Hortaliça	1
Almeirão	Cichorium endivia	Asteraceae	Médio	Placenta 1	Abundância	Hortaliça	1
Amêndoa da praia	Terminalia catappa	Combretaceae	Alto	Secundária Tardia	Acumulação	Matéria Orgânica	1
Amendoeira	Prunus dulcis	Rosaceae	Emergente	Secundária Média	Acumulação	Castanha	1
Amendoim	Arachis hypogaea	Fabaceae	Alto	Placenta 1	Abundância	Grão	1
Amendoim forrageiro	Arachis pintoi	Fabaceae	Baixo	Placenta 2	Acumulação	Matéria Orgânica	1
Amor agarradinho	Antigonon leptopus	Polygonaceae	Alto	Placenta 2	Acumulação	Ornamental	1
Amora	Morus nigra	Moraceae	Alto	Secundária Inicial	Abundância	Fruta	1
Andiroba	Carapa guianensis	Meliaceae	Emergente	Secundária Tardia	Abundância	Medicinal	1
Andropogon	Andropogon spp.	Poaceae	Alto	Placenta 2	Retomada	Matéria Orgânica	1
Angico Preto	Anandenanthera peregrina	Fabaceae	Emergente	Secundária Tardia	Acumulação	Madeira	1
Araçá	Psidium cattleianum	Myrtaceae	Alto	Pioneira	Abundância	Fruta	1
Araça Boi	Eugenia stipitata	Myrtaceae	Médio	Secundária Média	Abundância	Fruta	1
Araribá	Centrolobium tomentosum	Fabaceae	Alto	Clímax	Abundância	Madeira	1
Araruta	Maranta arundinacea	Marantaceae	Baixo	Placenta 2	Abundância	Hortaliça	1
Araticum	Annona montana	Annonaceae	Médio	Secundária Média	Abundância	Fruta	1
Araucária	Araucaria angustifolia	Araucariaceae	Emergente	Clímax	Abundância	Madeira	1
Aroeira Brava	Lithraea molleoides	Anacardiaceae	Alto	Secundária Inicial	Acumulação	Matéria Orgânica	1
Aroeira da Praia	Schinus terebinthifolius	Anacardiaceae	Alto	Secundária Tardia	Acumulação	Matéria Orgânica	1
Aroeira Salsa	Schinus molle	Anacardiaceae	Alto	Secundária Tardia	Acumulação	Matéria Orgânica	2
Aroeira Verdadeira	Myracrodruon urundeuva	Anacardiaceae	Alto	Clímax	Abundância	Madeira	2
Arroz	Oryza sativa	Poaceae	Alto	Placenta 1	Abundância	Hortaliça	2
Arruda	Ruta graveolens	Rutaceae	Alto	Placenta 2	Retomada	Medicinal	2
Aspargo	Asparagus officinalis	Asparagaceae	Baixo	Placenta 2	Abundância	Hortaliça	2
Assa Peixe	Vernonia polyanthes	Asteraceae	Alto	Pioneira	Retomada	Matéria Orgânica	2
Astrapéia	Dombeya wallichii	Malvaceae	Médio	Pioneira	Acumulação	Matéria Orgânica	2
Atemóia	Annona × atemoya	Annonaceae	Médio	Secundária Inicial	Abundância	Fruta	2
Avelã	Corylus avellana	Betulaceae	Médio	Secundária Média	Acumulação	Castanha	2
